DeKUT5,272693.643,9956706.379,
DeKUT6,272707.334,9956819.541,1793.104
DeKUT7,272903.573,9956825.252,
DeKUT8,272848.129,9956892.362,1790.768
DeKUT9,272689.26,9956898.084,
TR1,273003.383,9956481.024,
TR2,273172.486,9956414.237,
TR3,273527.907,9956201.99,
TR4,274031.587,9955995.613,
TR5,274122.052,9955997.537,
TR6,274422.749,9955930.699,
TR7,274847.085,9956131.037,
TR8,274874.975,9956229.271,
TR9,274756.146,9956414.36,
TR10,274491.732,9956362.576,
TR11,274252.873,9956319.621,
TR12,274013.687,9956268.577,
TR13,273756.245,9956294.918,
TR14,273357.5,9956413.69,
TR15,273173.593,9956475.352,1778.297
TR16,272965.678,9956720.647,
SG1,272669.243,9956581.487,1787.05
SG2,272801.044,9956690.984,1782.998
SG3,272630.43,9956875.051,1795.821
SG4,272564.051,9956887.924,1792.558
SG5,272550.392,9957038.409,1788.405
SG6,272633.886,9957011.52,1791.459
SG7,272660.838,9957084.679,1790.268
SG8,272728.105,9957014.367,1792.977
SG9,272700.392,9956782.108,1791.214
SG10,272938.007,9956767.29,1783.434
SG11,272717.061,9956664.809,1784.441
SG12,272803.79,9956478.185,1781.819
SG13,272900.855,9956507.226,1780.105
SG14,272942.011,9956438.199,1782.732
SG15,273080.472,9956515.546,1776.209
SG17,273068.478,9956322.356,1779.925
SG18,273120.653,9956225.09,1780.168
SG19,273183.984,9956250.296,1779.075
SG20,273146.359,9956184.773,1781.417
SG21,273092.592,9956163.995,1782.955
SG22,272951.922,9956189.749,1788.929
SG23,272922.678,9956272.052,1791.404
SG24,272921.182,9956347.542,1788.938
SG25,272871.857,9956407.154,1785.835
SG27,272712.651,9956533.245,1783.63
SG28,272997.617,9956372.386,1783.939
SG29,273146.234,9956279.087,1778.095
SG30,273159.597,9956589.027,1774.896
SG31,273031.272,9956591.962,1776.779
SG32,272966.352,9956674.362,1777.949
SG33,273016.791,9956737.511,1777.1
SG34,272956.417,9956792.523,1784.429
SG35,272982.583,9956814.179,1783.993
SG36,272753.587,9956812.008,1791.136
SG37,272825.589,9956826.067,1789.569
SG38,272883.097,9956848.156,1789.771
SG39,273213.535,9956204.477,1781.13
SG40,273010.132,9956213.865,1784.158
